ano,cod_conta,nomenclaturas_observadas
2022,DespesaComPessoalTotal,DESPESA TOTAL COM PESSOAL - DTP (III) = (I - II) | DESPESA TOTAL COM PESSOAL - DTP (VIII) = (IIIa + IIIb)
2022,DespesaTotalComPessoalPercentual2021,DTP em 2021 (XII) (%)
2022,DespesaTotalComPessoalTrajetoriaDeRetornoAoLimite,DESPESA TOTAL COM PESSOAL - DTP (VIII)
2022,DespesasPensoesInativosEPensionistas,Pensões
2022,LimiteDeAlertaDespesaComPessoalTotal,"LIMITE DE ALERTA (XI) = (0,90 x IX) (inciso II do §1º do art. 59 da LRF)"
2022,LimiteMaximoDespesaComPessoalTotal,"LIMITE MÁXIMO (IX) (incisos I, II e III, art. 20 da LRF)"
2022,LimitePrudencialDespesaComPessoalTotal,"LIMITE PRUDENCIAL (X) = (0,95 x IX) (parágrafo único do art. 22 da LRF)"
2022,ObrigacoesPatronais,Obrigações Patronais
2022,PercentualDespesaTotalComPessoal,% DTP (VIII / VII)
2022,PercentualExcedenteDespesaComPessoal,Excedente em 2021 (XIII) = (XII - IX) (%)
2022,PercentualLimiteArt15LC178,LIMITE CONFORME ART. 15 DA LC 178/2021 (%)
2022,PercentualLimiteMaximo,"Limite Máximo (IX) (%) (LRF, art. 20)"
2022,PercentualRedutorAnualDespesaComPessoal,"Redutor anual (XIV) = (0,10 x XIII) (%)"
2022,ReceitaCorrenteLiquidaAjustada,= RECEITA CORRENTE LÍQUIDA AJUSTADA PARA CÁLCULO DOS LIMITES DA DESPESA COM PESSOAL (VII) = (IV - V - VI)
2022,ReceitaCorrenteLiquidaLimiteLegal,RECEITA CORRENTE LIQUIDA - RCL (IV)
2022,ReceitaCorrenteLiquidaTrajetoriaDeRetornoAoLimite,RECEITA CORRENTE LÍQUIDA AJUSTADA PARA CÁLCULO DOS LIMITES DA DESPESA COM PESSOAL (VII)
2022,TransferenciasObrigatoriasDaUniaoRelativasAsEmendasDeBancada,"(-) Transferências Obrigatórias da União relativas às Emendas de Bancada (art. 166, § 16, da CF) (VI)"
2022,TransferenciasObrigatoriasDaUniaoRelativasAsEmendasIndividuais,"(-) Transferências Obrigatórias da União Relativas às Emendas Individuais (art. 166-A, §1º, da CF) (V)"
2022,VencimentosVantagensEOutrasDespesasVariaveis,"Vencimentos, Vantagens e Outras Despesas Variáveis"
2023,AposentadoriasReservaEReformas,"Aposentadorias, Reserva e Reformas"
2023,DespesaComPessoalAtivoBruta,Pessoal Ativo
2023,DespesaComPessoalAtivoBrutaEnteConsorciado,Pessoal Ativo
2023,DespesaComPessoalBruta,DESPESA BRUTA COM PESSOAL (I)
2023,DespesaComPessoalBrutaEnteConsorciado,DESPESA BRUTA COM PESSOAL (I)
2023,DespesaComPessoalDecorrenteDeTerceirizacaoPorSubstituicaoBruta,Outras Despesas de Pessoal decorrentes de Contratos de Terceirização ou de contratação de forma indireta (§ 1º do art. 18 da LRF)
2023,DespesaComPessoalDecorrenteDeTerceirizacaoPorSubstituicaoBrutaEnteConsorciado,Outras despesas de pessoal decorrentes de contratos de terceirização ou de contratação de forma indireta (§ 1º art. 18 da LRF)
2023,DespesaComPessoalInativoEPensionistasBruta,Pessoal Inativo e Pensionistas
2023,DespesaComPessoalLiquida,DESPESA LÍQUIDA COM PESSOAL (III) = (I - II)
2023,DespesaComPessoalNaoComputada,DESPESAS NÃO COMPUTADAS (§ 1º do art. 19 da LRF) (II)
2023,DespesaComPessoalNaoComputadaDecisaoJudicialPeriodoAnteriorAoDaApuracao,Decorrentes de Decisão Judicial de Período Anterior ao da Apuração
2023,DespesaComPessoalNaoComputadaExerciciosAnterioresAoPeriodoDaApuracao,Despesas de Exercícios Anteriores de Período Anterior ao da Apuração
2023,DespesaComPessoalNaoComputadaInativosEPensionistasComRecursosVinculados,Inativos e Pensionistas com Recursos Vinculados
2023,DespesaComPessoalNaoComputadaIndenizacaoDemissaoVoluntaria,Indenizações por Demissão e Incentivos à Demissão Voluntária e Deduções Constitucionais
2023,DespesaComPessoalNaoExecutadaOrcamentariamente,Despesa com Pessoal não Executada Orçamentariamente
2023,DespesaComPessoalTotal,DESPESA TOTAL COM PESSOAL - DTP (III) = (I - II) | DESPESA TOTAL COM PESSOAL - DTP (VIII) = (IIIa + IIIb)
2023,DespesaTotalComPessoalPercentual2021,DTP em 2021 (XII) (%)
2023,DespesaTotalComPessoalTrajetoriaDeRetornoAoLimite,DESPESA TOTAL COM PESSOAL - DTP (VIII)
2023,DespesasPensoesInativosEPensionistas,Pensões
2023,LimiteDeAlertaDespesaComPessoalTotal,"LIMITE DE ALERTA (XI) = (0,90 x IX) (inciso II do §1º do art. 59 da LRF)"
2023,LimiteMaximoDespesaComPessoalTotal,"LIMITE MÁXIMO (IX) (incisos I, II e III, art. 20 da LRF)"
2023,LimitePrudencialDespesaComPessoalTotal,"LIMITE PRUDENCIAL (X) = (0,95 x IX) (parágrafo único do art. 22 da LRF)"
2023,ObrigacoesPatronais,Obrigações Patronais
2023,PercentualDespesaTotalComPessoal,% DTP (VIII / VII)
2023,PercentualExcedenteDespesaComPessoal,Excedente em 2021 (XIII) = (XII - IX) (%)
2023,PercentualLimiteArt15LC178,LIMITE CONFORME ART. 15 DA LC 178/2021 (%)
2023,PercentualLimiteMaximo,"Limite Máximo (IX) (%) (LRF, art. 20)"
2023,PercentualRedutorAnualDespesaComPessoal,"Redutor anual (XIV) = (0,10 x XIII) (%)"
2023,PercentualTrajetoriaRetornoAoLimiteDaDespesaTotalComPessoal,Valores Percentuais
2023,ReceitaCorrenteLiquidaAjustada,= RECEITA CORRENTE LÍQUIDA AJUSTADA PARA CÁLCULO DOS LIMITES DA DESPESA COM PESSOAL (VII) = (IV - V - VI)
2023,ReceitaCorrenteLiquidaLimiteLegal,RECEITA CORRENTE LIQUIDA - RCL (IV)
2023,ReceitaCorrenteLiquidaTrajetoriaDeRetornoAoLimite,RECEITA CORRENTE LÍQUIDA AJUSTADA PARA CÁLCULO DOS LIMITES DA DESPESA COM PESSOAL (VII)
2023,TransferenciasObrigatoriasDaUniaoRelativasAsEmendasDeBancada,"(-) Transferências obrigatórias da União relativas às emendas de bancada (art. 166, § 16, da CF) e ao vencimento dos agentes comunitários de saúde e de combate às endemias (CF, art. 198, §11) (VI)"
2023,TransferenciasObrigatoriasDaUniaoRelativasAsEmendasIndividuais,"(-) Transferências Obrigatórias da União Relativas às Emendas Individuais (art. 166-A, §1º, da CF) (V)"
2023,VencimentosVantagensEOutrasDespesasVariaveis,"Vencimentos, Vantagens e Outras Despesas Variáveis"
2024,AgentesComunitariosDeSaudeEDeCombateAsEndemiasComRecursosVinculados,"Agentes Comunitários de Saúde e de Combate às Endemias com Recursos Vinculados (CF, art. 198, §11)"
2024,AposentadoriasReservaEReformas,"Aposentadorias, Reserva e Reformas"
2024,DespesaComPessoalAtivoBruta,Pessoal Ativo
2024,DespesaComPessoalAtivoBrutaEnteConsorciado,Pessoal Ativo
2024,DespesaComPessoalBruta,DESPESA BRUTA COM PESSOAL (I)
2024,DespesaComPessoalBrutaEnteConsorciado,DESPESA BRUTA COM PESSOAL (I)
2024,DespesaComPessoalDecorrenteDeTerceirizacaoPorSubstituicaoBruta,Outras Despesas de Pessoal decorrentes de Contratos de Terceirização ou de contratação de forma indireta (§ 1º do art. 18 da LRF)
2024,DespesaComPessoalDecorrenteDeTerceirizacaoPorSubstituicaoBrutaEnteConsorciado,Outras despesas de pessoal decorrentes de contratos de terceirização ou de contratação de forma indireta (§ 1º art. 18 da LRF)
2024,DespesaComPessoalInativoEPensionistasBruta,Pessoal Inativo e Pensionistas
2024,DespesaComPessoalLiquida,DESPESA LÍQUIDA COM PESSOAL (III) = (I - II)
2024,DespesaComPessoalNaoComputada,DESPESAS NÃO COMPUTADAS (§ 1º do art. 19 da LRF) (II)
2024,DespesaComPessoalNaoComputadaDecisaoJudicialPeriodoAnteriorAoDaApuracao,Decorrentes de Decisão Judicial de Período Anterior ao da Apuração
