ano,UF,metrica,fonte,status
2018,DF,Limite_Prudencial,"LimitePrudencialDespesaComPessoalTotal | LIMITE PRUDENCIAL (IX) = (0,95 x VIII) (parágrafo único do art. 22 da LRF) | % sobre a RCL Ajustada",ok
2018,DF,Limite_Maximo,"LimiteMaximoDespesaComPessoalTotal | LIMITE MÁXIMO (VIII) (incisos I, II e III, art. 20 da LRF) | % sobre a RCL Ajustada",ok
2018,ES,Receita_Corrente_Liquida,ReceitaCorrenteLiquidaLimiteLegal | RECEITA CORRENTE LIQUIDA - RCL (IV) | Valor,ok
2018,ES,RCL_Ajustada,ReceitaCorrenteLiquidaAjustada | = RECEITA CORRENTE LÍQUIDA AJUSTADA (VI) | Valor,ok
2018,ES,Despesa_Total_Pessoal,DespesaComPessoalTotal | DESPESA TOTAL COM PESSOAL - DTP (VII) = (IIIa + IIIb) | Valor,ok
2018,ES,DTP_RCL,DespesaComPessoalTotal | DESPESA TOTAL COM PESSOAL - DTP (VII) = (IIIa + IIIb) | % sobre a RCL Ajustada,ok
2018,ES,Limite_Alerta,"LimiteDeAlertaDespesaComPessoalTotal | LIMITE DE ALERTA (X) = (0,90 x VIII) (inciso II do §1º do art. 59 da LRF) | % sobre a RCL Ajustada",ok
2018,ES,Limite_Prudencial,"LimitePrudencialDespesaComPessoalTotal | LIMITE PRUDENCIAL (IX) = (0,95 x VIII) (parágrafo único do art. 22 da LRF) | % sobre a RCL Ajustada",ok
2018,ES,Limite_Maximo,"LimiteMaximoDespesaComPessoalTotal | LIMITE MÁXIMO (VIII) (incisos I, II e III, art. 20 da LRF) | % sobre a RCL Ajustada",ok
2018,GO,Receita_Corrente_Liquida,ReceitaCorrenteLiquidaLimiteLegal | RECEITA CORRENTE LIQUIDA - RCL (IV) | Valor,ok
2018,GO,RCL_Ajustada,ReceitaCorrenteLiquidaAjustada | = RECEITA CORRENTE LÍQUIDA AJUSTADA (VI) | Valor,ok
2018,GO,Despesa_Total_Pessoal,DespesaComPessoalTotal | DESPESA TOTAL COM PESSOAL - DTP (VII) = (IIIa + IIIb) | Valor,ok
2018,GO,DTP_RCL,DespesaComPessoalTotal | DESPESA TOTAL COM PESSOAL - DTP (VII) = (IIIa + IIIb) | % sobre a RCL Ajustada,ok
2018,GO,Limite_Alerta,"LimiteDeAlertaDespesaComPessoalTotal | LIMITE DE ALERTA (X) = (0,90 x VIII) (inciso II do §1º do art. 59 da LRF) | % sobre a RCL Ajustada",ok
2018,GO,Limite_Prudencial,"LimitePrudencialDespesaComPessoalTotal | LIMITE PRUDENCIAL (IX) = (0,95 x VIII) (parágrafo único do art. 22 da LRF) | % sobre a RCL Ajustada",ok
2018,GO,Limite_Maximo,"LimiteMaximoDespesaComPessoalTotal | LIMITE MÁXIMO (VIII) (incisos I, II e III, art. 20 da LRF) | % sobre a RCL Ajustada",ok
2018,MA,Receita_Corrente_Liquida,ReceitaCorrenteLiquidaLimiteLegal | RECEITA CORRENTE LIQUIDA - RCL (IV) | Valor,ok
2018,MA,RCL_Ajustada,ReceitaCorrenteLiquidaAjustada | = RECEITA CORRENTE LÍQUIDA AJUSTADA (VI) | Valor,ok
2018,MA,Despesa_Total_Pessoal,DespesaComPessoalTotal | DESPESA TOTAL COM PESSOAL - DTP (VII) = (IIIa + IIIb) | Valor,ok
2018,MA,DTP_RCL,DespesaComPessoalTotal | DESPESA TOTAL COM PESSOAL - DTP (VII) = (IIIa + IIIb) | % sobre a RCL Ajustada,ok
2018,MA,Limite_Alerta,"LimiteDeAlertaDespesaComPessoalTotal | LIMITE DE ALERTA (X) = (0,90 x VIII) (inciso II do §1º do art. 59 da LRF) | % sobre a RCL Ajustada",ok
2018,MA,Limite_Prudencial,"LimitePrudencialDespesaComPessoalTotal | LIMITE PRUDENCIAL (IX) = (0,95 x VIII) (parágrafo único do art. 22 da LRF) | % sobre a RCL Ajustada",ok
2018,MA,Limite_Maximo,"LimiteMaximoDespesaComPessoalTotal | LIMITE MÁXIMO (VIII) (incisos I, II e III, art. 20 da LRF) | % sobre a RCL Ajustada",ok
2018,MG,Receita_Corrente_Liquida,ReceitaCorrenteLiquidaLimiteLegal | RECEITA CORRENTE LIQUIDA - RCL (IV) | Valor,ok
2018,MG,RCL_Ajustada,ReceitaCorrenteLiquidaAjustada | = RECEITA CORRENTE LÍQUIDA AJUSTADA (VI) | Valor,ok
2018,MG,Despesa_Total_Pessoal,DespesaComPessoalTotal | DESPESA TOTAL COM PESSOAL - DTP (VII) = (IIIa + IIIb) | Valor,ok
2018,MG,DTP_RCL,DespesaComPessoalTotal | DESPESA TOTAL COM PESSOAL - DTP (VII) = (IIIa + IIIb) | % sobre a RCL Ajustada,ok
2018,MG,Limite_Alerta,"LimiteDeAlertaDespesaComPessoalTotal | LIMITE DE ALERTA (X) = (0,90 x VIII) (inciso II do §1º do art. 59 da LRF) | % sobre a RCL Ajustada",ok
2018,MG,Limite_Prudencial,"LimitePrudencialDespesaComPessoalTotal | LIMITE PRUDENCIAL (IX) = (0,95 x VIII) (parágrafo único do art. 22 da LRF) | % sobre a RCL Ajustada",ok
2018,MG,Limite_Maximo,"LimiteMaximoDespesaComPessoalTotal | LIMITE MÁXIMO (VIII) (incisos I, II e III, art. 20 da LRF) | % sobre a RCL Ajustada",ok
2018,MS,Receita_Corrente_Liquida,ReceitaCorrenteLiquidaLimiteLegal | RECEITA CORRENTE LIQUIDA - RCL (IV) | Valor,ok
2018,MS,RCL_Ajustada,ReceitaCorrenteLiquidaAjustada | = RECEITA CORRENTE LÍQUIDA AJUSTADA (VI) | Valor,ok
2018,MS,Despesa_Total_Pessoal,DespesaComPessoalTotal | DESPESA TOTAL COM PESSOAL - DTP (VII) = (IIIa + IIIb) | Valor,ok
2018,MS,DTP_RCL,DespesaComPessoalTotal | DESPESA TOTAL COM PESSOAL - DTP (VII) = (IIIa + IIIb) | % sobre a RCL Ajustada,ok
2018,MS,Limite_Alerta,"LimiteDeAlertaDespesaComPessoalTotal | LIMITE DE ALERTA (X) = (0,90 x VIII) (inciso II do §1º do art. 59 da LRF) | % sobre a RCL Ajustada",ok
2018,MS,Limite_Prudencial,"LimitePrudencialDespesaComPessoalTotal | LIMITE PRUDENCIAL (IX) = (0,95 x VIII) (parágrafo único do art. 22 da LRF) | % sobre a RCL Ajustada",ok
2018,MS,Limite_Maximo,"LimiteMaximoDespesaComPessoalTotal | LIMITE MÁXIMO (VIII) (incisos I, II e III, art. 20 da LRF) | % sobre a RCL Ajustada",ok
2018,MT,Receita_Corrente_Liquida,ReceitaCorrenteLiquidaLimiteLegal | RECEITA CORRENTE LIQUIDA - RCL (IV) | Valor,ok
2018,MT,RCL_Ajustada,ReceitaCorrenteLiquidaAjustada | = RECEITA CORRENTE LÍQUIDA AJUSTADA (VI) | Valor,ok
2018,MT,Despesa_Total_Pessoal,DespesaComPessoalTotal | DESPESA TOTAL COM PESSOAL - DTP (VII) = (IIIa + IIIb) | Valor,ok
2018,MT,DTP_RCL,DespesaComPessoalTotal | DESPESA TOTAL COM PESSOAL - DTP (VII) = (IIIa + IIIb) | % sobre a RCL Ajustada,ok
2018,MT,Limite_Alerta,"LimiteDeAlertaDespesaComPessoalTotal | LIMITE DE ALERTA (X) = (0,90 x VIII) (inciso II do §1º do art. 59 da LRF) | % sobre a RCL Ajustada",ok
2018,MT,Limite_Prudencial,"LimitePrudencialDespesaComPessoalTotal | LIMITE PRUDENCIAL (IX) = (0,95 x VIII) (parágrafo único do art. 22 da LRF) | % sobre a RCL Ajustada",ok
2018,MT,Limite_Maximo,"LimiteMaximoDespesaComPessoalTotal | LIMITE MÁXIMO (VIII) (incisos I, II e III, art. 20 da LRF) | % sobre a RCL Ajustada",ok
2018,PA,Receita_Corrente_Liquida,ReceitaCorrenteLiquidaLimiteLegal | RECEITA CORRENTE LIQUIDA - RCL (IV) | Valor,ok
2018,PA,RCL_Ajustada,ReceitaCorrenteLiquidaAjustada | = RECEITA CORRENTE LÍQUIDA AJUSTADA (VI) | Valor,ok
2018,PA,Despesa_Total_Pessoal,DespesaComPessoalTotal | DESPESA TOTAL COM PESSOAL - DTP (VII) = (IIIa + IIIb) | Valor,ok
2018,PA,DTP_RCL,DespesaComPessoalTotal | DESPESA TOTAL COM PESSOAL - DTP (VII) = (IIIa + IIIb) | % sobre a RCL Ajustada,ok
2018,PA,Limite_Alerta,"LimiteDeAlertaDespesaComPessoalTotal | LIMITE DE ALERTA (X) = (0,90 x VIII) (inciso II do §1º do art. 59 da LRF) | % sobre a RCL Ajustada",ok
2018,PA,Limite_Prudencial,"LimitePrudencialDespesaComPessoalTotal | LIMITE PRUDENCIAL (IX) = (0,95 x VIII) (parágrafo único do art. 22 da LRF) | % sobre a RCL Ajustada",ok
2018,PA,Limite_Maximo,"LimiteMaximoDespesaComPessoalTotal | LIMITE MÁXIMO (VIII) (incisos I, II e III, art. 20 da LRF) | % sobre a RCL Ajustada",ok
2018,PB,Receita_Corrente_Liquida,ReceitaCorrenteLiquidaLimiteLegal | RECEITA CORRENTE LIQUIDA - RCL (IV) | Valor,ok
2018,PB,RCL_Ajustada,ReceitaCorrenteLiquidaAjustada | = RECEITA CORRENTE LÍQUIDA AJUSTADA (VI) | Valor,ok
2018,PB,Despesa_Total_Pessoal,DespesaComPessoalTotal | DESPESA TOTAL COM PESSOAL - DTP (VII) = (IIIa + IIIb) | Valor,ok
